Temp,Turbidity (cm),DO(mg/L),BOD (mg/L),pH,Ammonia (mg L-1 ),Nitrite (mg L-1 ),Water Quality
"67,45","10,13","0,208","7,474","4,752","0,286","4,355",2
"64,63","94,02","11,434","10,860","3,085","0,096","2,183",2
"65,12","90,65","12,431","12,810","9,649","0,975","4,902",2
"1,64","0,07","10,964","8,508","4,820","0,885","3,572",2
"64,86","2,12","1,362","13,335","10,244","0,802","4,656",2
"3,01","10,47","12,704","12,725","12,713","0,671","3,467",2
"70,60","4,41","14,786","10,123","10,474","0,171","4,764",2
"80,86","96,61","0,716","10,502","1,490","0,470","2,963",2
"81,20","11,52","2,211","7,465","0,048","0,053","2,509",2
"1,10","10,59","8,637","14,713","0,004","0,652","4,640",2
"13,83","92,04","1,994","6,833","13,653","0,668","3,343",2
"12,26","9,29","1,806","14,244","5,113","0,211","4,555",2
"3,72","81,15","10,363","6,990","4,244","0,927","2,454",2
"75,79","97,40","10,910","12,896","13,345","0,200","2,177",2
"60,66","87,80","0,551","10,407","4,806","0,605","3,030",2
"10,87","4,13","1,614","14,542","1,865","0,698","3,041",2
"83,63","98,83","0,527","9,781","2,856","0,909","2,177",2
"62,16","95,23","9,979","7,860","12,995","0,688","2,732",2
"80,50","9,71","14,300","11,895","0,066","0,581","4,841",2
"3,80","86,07","2,668","13,354","5,535","0,074","2,228",2
"74,83","82,16","1,251","13,567","12,483","0,772","3,722",2
"3,76","1,34","8,427","8,481","2,192","0,424","3,403",2
"78,97","1,65","0,945","6,369","11,675","0,476","2,175",2
"64,00","12,32","14,799","10,036","4,876","0,267","2,327",2
"4,97","81,75","2,161","14,753","4,955","0,810","2,236",2
"6,43","84,36","9,609","12,451","9,963","0,919","3,114",2
"10,09","90,29","2,628","10,424","4,970","0,727","3,925",2
"63,78","8,54","11,642","10,902","3,577","0,992","3,939",2
"0,88","5,24","1,721","8,594","0,228","0,206","4,111",2
"9,38","11,70","1,317","7,493","12,822","0,752","4,990",2
"2,82","10,01","0,842","11,910","0,286","0,217","2,220",2
"72,76","0,18","10,964","10,559","1,378","0,302","3,404",2
"67,85","94,66","0,974","14,591","4,514","0,300","2,118",2
"0,78","10,52","10,409","11,673","0,288","0,082","3,968",2
"14,59","85,45","1,231","13,952","1,674","0,416","4,112",2
"0,41","12,22","0,753","13,632","1,018","0,065","2,340",2
"68,45","86,32","0,728","9,175","13,342","0,381","3,751",2
"65,26","13,21","1,220","12,815","11,698","0,530","4,758",2
"80,05","0,05","2,772","9,819","10,441","0,556","4,810",2
"0,85","93,38","11,107","14,018","14,077","0,433","3,363",2
"82,18","12,71","12,109","8,031","4,608","0,187","4,958",2
"72,07","90,76","0,636","11,180","12,427","0,860","4,523",2
"72,27","5,55","13,818","7,242","14,130","0,872","3,168",2
"82,77","2,24","2,912","6,904","5,894","0,099","4,638",2
"6,60","81,67","13,372","9,969","1,056","0,959","3,809",2
"69,52","5,57","0,969","12,120","11,569","0,399","2,133",2
"78,26","97,17","2,715","9,692","10,283","0,999","3,219",2
"84,02","90,40","11,408","8,920","4,067","0,567","4,455",2
"5,86","0,54","0,134","14,786","9,582","0,815","2,989",2
"63,30","93,30","0,440","12,019","0,848","0,796","3,396",2
"1,73","95,56","13,648","8,270","10,232","0,683","4,876",2
"2,73","12,31","0,593","12,013","2,708","0,144","2,433",2
"71,71","86,44","11,011","7,837","2,949","0,172","2,024",2
"69,34","86,47","2,335","9,946","10,377","0,465","3,892",2
"12,59","90,30","9,792","13,604","12,346","0,794","4,565",2
"78,83","10,97","13,733","6,071","10,253","0,304","3,815",2
"7,06","99,80","10,476","11,344","14,082","0,364","2,684",2
"10,80","98,41","8,905","14,444","14,851","0,924","4,899",2
"81,92","93,75","14,053","8,583","10,202","0,507","3,891",2
"10,01","90,88","2,870","13,474","13,150","0,249","2,586",2
"77,93","11,54","14,248","7,231","0,428","0,886","4,040",2
"76,17","6,71","14,468","13,151","3,659","0,644","2,456",2
"82,00","8,12","12,987","7,452","1,910","0,442","2,279",2
"14,84","88,66","0,244","6,308","1,280","0,953","3,180",2
"4,98","8,99","10,407","8,295","10,661","0,928","2,204",2
